Nama Kampus,Sinta score
Universitas Cendekia Abditama,2.046
Universitas Ratu Samban,2.045
STAI Dr. KH. EZ. Muttaqien Purwakarta,2.044
"STAI Bumi Silampari Lubuk Linggau, Sumatera Selatan",2.042
STKIP PGRI Ponorogo,2.039
Universitas Muhammadiyah Mahakarya Aceh,2.034
Sekolah Tinggi Ilmu Al-Qur`an Amuntai,2.033
Politeknik STIA LAN Makassar,2.032
Universitas Teknologi Surabaya,2.028
Sekolah Tinggi Agama Buddha Negeri Sriwijaya Tangerang,2.026
Institut Bisnis Muhammadiyah Bekasi,2.013
Sekolah Tinggi Ilmu Ekonomi Bina Karya,2.012
Sekolah Tinggi Ilmu Kesehatan PGI Cikini,2.003
Universitas Pramita Indonesia,1.999
Politeknik Pembangunan Pertanian Medan,1.997
Institut Agama Islam Sumbar,1.997
Politeknik Kelautan dan Perikanan Kupang,1.984
STIKES Tanawali Takalar,1.984
Universitas Merangin,1.981
Universitas Sipatokkong Mambo,1.981
Sekolah Tinggi Ilmu Ekonomi Jambatan Bulan,1.975
Sekolah Tinggi Teologi Kanaan Nusantara Ungaran,1.974
Universitas Bumi Persada,1.969
Universitas Yayasan Pendidikan Imam Bonjol Majalengka,1.960
Institut Agama Islam Tazkia,1.957
STIKES Bhakti Pertiwi Indonesia,1.957
Universitas Syekh Yusuf Al Makassari Gowa,1.955
Institut Teknologi Yogyakarta,1.953
STAI Al-Musaddadiyah Garut,1.943
Sekolah Tinggi Teknologi Informasi NIIT,1.938
Akademi Keperawatan Kesdam I/Bukit Barisan Medan,1.936
Universitas Amal Ilmiah Yapis Wamena,1.927
Institut Agama Islam Sahid,1.925
Politeknik Keselamatan Transportasi Jalan,1.919
Politeknik Teknologi Kimia Industri,1.914
Badan Penelitian dan Pengembangan Industri - Kementerian Perindustrian,1.905
STMIK Dharma Wacana Metro,1.903
STAI Terpadu Yogyakarta,1.898
Sekolah Tinggi Teologi Soteria Purwokerto,1.892
Institut Pendidikan Soe,1.891
Institut Agama Islam Syekh Maulana Qori Bangko,1.891
Politeknik Banjarnegara,1.884
Universitas Sunan Bonang,1.875
STAI Ma`had Aly Al-Hikam Malang,1.874
Sekolah Tinggi Ilmu Administrasi YPPT Tasikmalaya,1.873
Institut Kesehatan dan Bisnis St. Fatimah Mamuju,1.872
STKIP Paris Barantai,1.870
--disable--Sekolah Tinggi Ilmu Kesehatan Ahmad Dahlan Cirebon,1.869
Universitas Widya Dharma Pontianak,1.865
Politeknik Pelayaran Banten,1.863
Universitas Cahaya Bangsa,1.861
Universitas Efarina,1.851
Sekolah Tinggi Ilmu Kesehatan Kendedes,1.845
Universitas Muhammadiyah Kendal Batang,1.840
STIKES Suaka Insan,1.839
Politeknik Unggulan Cipta Mandiri,1.839
STIKES Patria Husada,1.838
Politeknik Sinar Mas Berau Coal,1.838
Universitas Prabumulih,1.831
Politeknik Pertanian dan Peternakan Mapena,1.830
STKIP Al Hikmah Surabaya,1.823
Sekolah Tinggi Ilmu Kesehatan Gunung Sari,1.822
Universitas Muhammadiyah Kendal Batang,1.821
Institut Agama Kristen Negeri Toraja,1.815
Sekolah Tinggi Ilmu Kesehatan Kesosi,1.808
STMIK Profesional Makassar,1.807
Universitas Abdul Azis Lamadjido,1.806
STMIK Borneo Internasional,1.803
Universitas Sindang Kasih Majalengka,1.785
Politeknik Kesehatan Kementerian Kesehatan Ternate,1.785
Sekolah Tinggi Ilmu Ekonomi Nasional Banjarmasin,1.781
IKIP Saraswati,1.779
Universitas Muhammadiyah Madiun,1.775
Sekolah Tinggi Ilmu Kesehatan Tamalatea Makassar,1.763
Akademi Maritim Nusantara Cilacap,1.760
Sekolah Tinggi Ilmu Ekonomi Lhokseumawe,1.758
Sekolah Tinggi Ilmu Administrasi Bengkulu,1.758
Sekolah Tinggi Ekonomi Islam SEBI,1.755
Akademi Maritim Nusantara Cilacap,1.757
STKIP Aisyiyah Riau,1.753
Sekolah Tinggi Teologi IKAT,1.748
Sekolah Tinggi Ilmu Kesehatan IKIFA,1.748
Sekolah Tinggi Ilmu Ekonomi Persada Bunda,1.737
Sekolah Tinggi Ilmu Manajemen Lembaga Pendidikan Indonesia Makassar,1.734
Politeknik Karya Husada,1.733
STIKES Medika Nurul Islam,1.724
Universitas Pepabri Makassar,1.724
STMIK Widuri,1.721
Sekolah Tinggi Ilmu Kesehatan Pertamedika,1.720
Sekolah Tinggi Ilmu Agama Buddha Smaratungga,1.710
Iisip Yapis Biak,1.703
Sekolah Tinggi Ilmu Agama Buddha Jinarakkhita,1.699
Politeknik Angkatan Darat,1.699
Institut Agama Islam As'adiyah Sengkang,1.696
Akademi Farmasi Yamasi Makassar,1.694
Kementerian Agama RI,1.690
Institut Teknologi dan Bisnis Yadika Pasuruan,1.684
Sekolah Tinggi Ilmu Kesehatan Panca Bhakti Lampung,1.684
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Bina Mutiara,1.682
Universitas Utpadaka Swastika,1.681
STAI Darul Falah Cililin Cihampelas Bandung Barat,1.677
Universitas Dumai,1.673
Sekolah Tinggi Teknologi Industri Padang,1.659
Universitas Islam Lampung,1.654
Universitas Deli Sumatera,1.653
Politeknik Hasnur,1.650
STAI Sukabumi,1.650
Politeknik Nasional,1.643
Universitas Bali Dwipa,1.641
Universitas Satu Nusa Lampung,1.637
STIA Bina Banua Banjarmasin,1.636
Disable -- Sekolah Tinggi Ilmu Farmasi dan  Pengetahuan Alam Pelita Mas Palu,1.635
--disable--Institut Sains Dan Teknologi Annuqayah Sumenep Madura,1.632
Institut Teknologi Harapan Bangsa,1.631
Universitas Serelo Lahat,1.630
Sekolah Tinggi Ilmu Hukum Sumpah Pemuda,1.629
Akademi Komunitas Industri Tekstil dan Produk Tekstil Surakarta,1.627
Sekolah Tinggi Ekonomi Syariah Manna Wa Salwa Tanah Datar Sumatera Barat,1.626
Universitas Serelo Lahat,1.621
Universitas Merdeka Surabaya,1.621
Sekolah Tinggi Ilmu Ekonomi Sabang,1.618
Politeknik Kesehatan Bhakti Setya Indonesia,1.617
Universitas Nusa Megarkencana,1.616
Politeknik Piksi Ganesha Indonesia,1.615
Sekolah Tinggi Kesehatan Bina Cipta Husada,1.615
Universitas Madani Indonesia,1.611
Sekolah Tinggi Ilmu Kesehatan RS Prof Dr. J. A. Latumeten,1.606
STMIK Pontianak,1.605
Kementerian Keuangan Republik Indonesia,1.599
Sekolah Tinggi Ilmu Ekonomi Bhakti Pembangunan,1.594
Politeknik Manufaktur Ceper,1.593
Institut Agama Islam Darussalam Martapura Kalimantan Selatan,1.591
STAI Al-Anwar Sarang Rembang,1.589
Universitas Ary Ginanjar,1.581
Politeknik Bumi Akpelni,1.576
Universitas Antakusuma,1.574
STIKES Hang Tuah Tanjung Pinang,1.574
Politeknik Penerbangan Jayapura,1.571
STIKES Ganesha Husada Kediri,1.567
Universitas Jakarta Internasional,1.566
Sekolah Tinggi Ilmu Pertanian Petra Baliem Wamena,1.566
STISIPOL Raja Haji,1.566
Institut Ilmu Al Qur'an An-Nur Yogyakarta,1.555
Institut Agama Islam An-Nawawi Purworejo,1.555
Akademi Komunitas Negeri Aceh Barat,1.553
Sekolah Tinggi Teologi Injili Indonesia Surabaya,1.551
Politeknik Adiguna Maritim Indonesia Medan,1.545
Institut Bisnis dan Komunikasi Swadaya,1.545
Institut Bisnis dan Komunikasi Swadaya,1.544
Universitas Karya Persada Muna,1.542
Sekolah Tinggi Pariwisata Ars Internasional,1.542
Politeknik Indonesia Venezuela,1.537
Universitas Megou Pak Tulang Bawang,1.537
Sekolah Tinggi Teknologi Nusantara Indonesia,1.537
Universitas Aryasatya Deo Muri,1.531
STKIP Darud Da wah Wal Irsyad Pinrang,1.531
Sekolah Tinggi Keguruan dan Ilmu Pendidikan (STKIP) Muhammadiyah Sungai Penuh,1.528
Sekolah Tinggi Ilmu Ekonomi Mujahidin,1.528
Politeknik Enjinering Indorama,1.528
STIE Pasim Sukabumi,1.520
Institut Kesehatan dan Bisnis Surabaya,1.519
Politeknik Al-Islam Bandung,1.518
Sekolah Tinggi Analis Bakti Asih,1.508
Sekolah Tinggi Ilmu Ekonomi Indonesia Malang,1.507
Universitas Ottow Geissler,1.506
Sekolah Tinggi Ilmu Komunikasi dan Sekretari Tarakanita,1.504
Sekolah Tinggi Teknologi Bontang,1.502
--disable--STIKES Muhammadiyah Cirebon,1.498
"STAI Nurul Iman Parung, Bogor",1.486
Sekolah Tinggi Keguruan dan Ilmu Pendidikan (STKIP) Muhammadiyah Sungai Penuh,1.486
Akademi Kebidanan Tahirah Al Baeti Bulukumba,1.480
Politeknik Sukabumi,1.476
Sekolah Tinggi Ilmu Ekonomi Studi Ekonomi Modern,1.476
Sekolah Tinggi Ilmu Ekonomi Tri Bhakti,1.475
Sekolah Tinggi Teknologi Industri dan Farmasi Bogor,1.473
STAI Al-Fithrah Surabaya,1.470
Institut Teknologi Statistika dan Bisnis Muhammadiyah Semarang,1.470
Universitas Muhammadiyah Bogor Raya,1.469
Universitas Darunnajah,1.465
Institut Pertanian Malang,1.459
Universitas Patria Artha,1.457
STIKES Yayasan RS. Dr. Soetomo,1.456
Universitas Islam Ogan Komering Ilir Kayuagung,1.444
Universitas Tangerang Raya,1.441
Politeknik Kesdam VI Banjarmasin,1.436
Sekolah Tinggi Dirasat Islamiyah Imam Syafi`i Jember,1.429
Institut Ilmu Kesehatan STRADA Indonesia,1.424
Universitas Satu,1.422
Institut Teknologi dan Bisnis Indragiri,1.421
Institut Teknologi Perkebunan Pelalawan Indonesia,1.420
Universitas Nusa Megarkencana,1.420
STIKES Eka Harap,1.415
PT. Riset Perkebunan Nusantara,1.412
STIA-Lembaga Administrasi Negara Jakarta,1.410
Sekolah Tinggi Pertanian Kutai Timur,1.408
Universitas Nahdlatul Ulama Gorontalo,1.406
Institut Kesehatan Immanuel,1.403
Sekolah Tinggi Ilmu Ekonomi Manajemen Bisnis Indonesia,1.403
Universitas Darunnajah,1.394
Politeknik Penerbangan Makassar,1.394
Sekolah Tinggi Ilmu Tarbiyah Buntet Pesantren Cirebon Jawa Barat,1.393
Sekolah Tinggi Manajemen Informatika Komputer Uyelindo Kupang,1.392
AKTEK Radiodiagnostik Dan Radioterapi Bali,1.388
Sekolah Tinggi Ilmu Administrasi Banten,1.386
Sekolah Tinggi Ilmu Ekonomi Balikpapan,1.384
Universitas Internasional Jakarta,1.381
Sekolah Tinggi Ilmu Ekonomi Dewantara,1.381
Politeknik Kesehatan Wira Husada Nusantara Malang,1.379
Sekolah Tinggi Ilmu Ekonomi Manajemen Bisnis Indonesia,1.372
Sekolah Tinggi Farmasi Mahaganesha,1.371
Universitas Saintek Muhammadiyah,1.368
STKIP Nahdlatul Ulama Indramayu,1.368
Universitas Nasional Pasim,1.368
Universitas Islam Internasional Darullughah Wadda`wah,1.367
Sekolah Tinggi Bisnis Runata,1.366
Sekolah Tinggi Ilmu Ekonomi Gentiaras,1.363
Akademi Komunitas Industri Manufaktur Bantaeng,1.362
Akademi Keperawatan Dharma Wacana,1.361
Akademi Angkatan Udara (AAU),1.360
Politeknik Industri Petrokimia Banten,1.358
Politeknik Kesehatan Kementerian Kesehatan Pangkal Pinang,1.353
Akademi Inovasi Indonesia,1.350
Politeknik Kesehatan Karya Husada Yogyakarta,1.350
Lembaga Ilmu Pengetahuan Indonesia,1.350
Sekolah Tinggi Ilmu Ekonomi Wiyatamandala,1.349
Akademi Pariwisata Mandala Bhakti,1.348
Universitas Madani,1.344
STMIK Kharisma Makassar,1.331
Universitas Anak Bangsa,1.336
STMIK Kharisma Makassar,1.331
Sekolah Tinggi Teknik Wiworotomo,1.328
Politeknik Kampar,1.327
STIKES Advaita Medika Tabanan,1.326
STKIP Al Islam Tunas Bangsa,1.321
Akademi Pariwisata (AKPAR) Bina Sarana Informatika Bandung,1.320
Sekolah Tinggi Ilmu Administrasi Aan,1.319
Institut Bisnis dan Ekonomi Indonesia,1.304
"Institut Parahikma Indonesia, Gowa Sulawesi Selatan",1.303
STKIP Yayasan Abdi Pendidikan,1.293
Universitas Halim Sanusi,1.292
STKIP Andi Mattappa,1.291
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Amal Bakti,1.289
Akademi Kesehatan John Paul II Pekanbaru,1.287
STKIP Arrahmaniyah,1.277
Universitas Audi Indonesia,1.273
Disable -- Universitas Islam Negeri Syekh AIi Hasan Ahmad Addary Padangsidimpuan,1.270
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Cilacap,1.269
Sekolah Tinggi Ilmu Ekonomi Widya Manggalia,1.268
Institut Teknologi Bisnis dan Administrasi Al Gazali Barru,1.268
Sekolah Tinggi Ilmu Ekonomi Widya Manggalia,1.268
Sekolah Tinggi Ilmu Bahasa Arab Ar Raayah,1.267
Sekolah Tinggi Ilmu Ekonomi Galileo,1.263
Sekolah Tinggi Ilmu Ekonomi Eben Haezer Manado,1.260
Sekolah Tinggi Ilmu Kesehatan Wira Husada,1.258
Sekolah Tinggi Teologi Excelsius,1.258
Universitas LIA,1.255
Sekolah Tinggi Ilmu Ekonomi Dwimulya,1.253
Akademi Ilmu Komputer Ternate,1.247
Institut Agama Islam Sultan Muhammad Syafiuddin Sambas,1.247
Sekolah Tinggi Ilmu Kesehatan Al Ma arif,1.244
STMIK Time,1.244
STKIP PGRI Lumajang,1.243
STKIP Widya Yuwana,1.241
Institut Agama Islam Hamzanwadi NW Pancor Lombok Timur,1.239
Disable -- Institut Sains dan Kesehatan Bone,1.238
STAI At-Tanwir Bojonegoro,1.238
Sekolah Tinggi Ilmu Ekonomi Gici,1.237
Institut Teknologi dan Bisnis Haji Agus Salim Bukittinggi,1.236
Badan Penelitian dan Pengembangan Kesehatan Kementerian Kesehatan,1.229
Institut Agama Islam Hamzanwadi NW Pancor Lombok Timur,1.227
Sekolah Tinggi Ilmu Hukum IBLAM,1.221
Sekolah Tinggi Agama Islam At-Tanwir Bojonegoro,1.219
Politeknik ATMI,1.219
Disable -- Akademi Farmasi Jember,1.218
Sekolah Tinggi Ilmu Kesehatan Bhakti Husada Cikarang,1.216
Universitas Tomakaka,1.211
Sekolah Tinggi Filsafat Driyarkara,1.211
STKIP Situs Banten di Serang,1.210
Akademi Sekretari dan Manajemen Indonesia Desanta,1.210
STAI Binamadani Tangerang,1.209
Politeknik Elbajo Commodus,1.208
Sekolah Tinggi Pastoral Reinha  Larantuka,1.207
Politeknik Kelautan dan Perikanan Bitung,1.204
STAI La Tansa Mashiro Rangkasbitung Lebak,1.201
Sekolah Tinggi Filsafat Seminari Pineleng,1.201
Universitas Cipasung Tasikmalaya,1.200
Sekolah Tinggi Teknologi Nusantara Lampung,1.199
Institut Agama Islam Al-Fatimah Bojonegoro,1.193
Universitas PGRI Palangka Raya,1.193
Sekolah Tinggi Ilmu Pertanian Yapi Bone,1.193
Sekolah Tinggi Ilmu Kesehatan RS Dustira,1.190
Sekolah Tinggi Teologi Immanuel Sintang Kal-bar,1.184
Sekolah Tinggi Ilmu Ekonomi Perbankan Indonesia,1.181
Universitas Muhammadiyah Tegal,1.177
Sekolah Tinggi Ilmu Tarbiyah Al Bukhary Labuhan Batu,1.175
Sekolah Tinggi Ilmu Kesehatan Indonesia Padang,1.172
Politeknik Kaltara,1.171
Politeknik Kutaraja,1.169
Institut Pesantren Babakan Cirebon,1.163
"STIT Sunan Giri Bima, NTB",1.155
Akademi Keuangan Dan Perbankan Padang,1.149
Universitas Teknologi Sulawesi Utara,1.148
Sekolah Tinggi Hindu Dharma Klaten Jawa Tengah,1.148
STAI Sabili Bandung,1.145
STIKES RS Baptis Kediri,1.141
Institut Agama Islam Sunan Kalijogo Malang Jawa Timur,1.136
Cattleya Mental Health Center,1.135
Sekolah Tinggi Ekonomi Islam (STEI) Hamfara Yogyakarta,1.133
Cattleya Mental Health Center,1.135
Sekolah Tinggi Ekonomi Islam (STEI) Hamfara Yogyakarta,1.133
Sekolah Tinggi Teologi Cipanas,1.131
Institut Teknologi dan Ilmu Sosial Khatulistiwa,1.130
STIKES Yogyakarta,1.127
Politeknik NSC Surabaya,1.127
STISIP Al Washliyah Banda Aceh,1.126
STKIP Pesisir Selatan,1.125
--disable--STIKES Yarsi Mataram,1.125
STIKES Buana Husada Ponorogo,1.118
Sekolah Tinggi Ilmu Administrasi Nasional,1.118
Sekolah Tinggi Ilmu Ekonomi Syariah Bengkalis,1.118
STT Ebenhaezer Tanjung Enim,1.115
"STAI DDI Sidrap, Sulawesi Selatan",1.115
Institut Agama Islam Padang Lawas,1.112
Universitas Sali Al-Aitaam,1.108
STMIK YMI Tegal,1.107
Sekolah Tinggi Teknologi Payakumbuh,1.105
STAI Al-Ma`arif Ciamis,1.097
Politeknik Kesehatan Jember,1.093
Sekolah Tinggi Agama Islam Pangeran Dharma Kusuma Segeran Indramayu,1.083
Sekolah Tinggi Teologi Gamaliel,1.083
Sekolah Tinggi Ilmu Kesehatan Abdurahman,1.082
Sekolah Tinggi Ilmu Ekonomi Port Numbay Jayapura,1.081
STIKES Yahya Bima,1.078
Sekolah Tinggi Ilmu Kesehatan Fatima Parepare,1.077
Akademi Militer Magelang,1.076
Institut Teknologi dan Bisnis Indobaru Nasional,1.073
Pusat Penelitian dan Pengembangan BMKG,1.069
Sekolah Tinggi Ilmu Administrasi Tabalong,1.064
Pusat Penelitian dan Pengembangan BMKG,1.069
Sekolah Tinggi Ilmu Ekonomi Yapis,1.063
Institut KH. Ahmad Sanusi Sukabumi,1.063
Sekolah Tinggi Agama Islam Asy-Syukriyyah,1.062
Politeknik Sawunggalih Aji,1.061
Institut Teknologi dan Bisnis Indonesia,1.061
Akademi Akuntansi Indonesia Padang,1.060
Sekolah Tinggi Ilmu Ekonomi Surya Nusantara,1.058
STKIP Agama Hindu Singaraja,1.057
Institut Teknologi dan Bisnis Diniyyah Lampung,1.056
Disable -- STKIP Muhammadiyah Kuningan,1.053
Akademi Analis Farmasi Dan Makanan Banda Aceh,1.050
Universitas Graha Karya Muara Bulian,1.048
Akademi Bisnis Lombok,1.047
Sekolah Tinggi Teologi Torsina,1.043
STIKES Marendeng Majene,1.040
Sekolah Tinggi Ilmu Ekonomi Pemuda,1.032
Institut Teknologi dan Kesehatan Aspirasi,1.031
Institut Teknologi dan Bisnis MUhammadiyah Polewali Mandar,1.031
STIKES Satria Bhakti Nganjuk,1.027
Sekolah Tinggi Kesehatan Al-Fatah Bengkulu,1.027
Institut Teknologi Mitra Gama,1.024
Sekolah Tinggi Ilmu Ekonomi Cendekia Bojonegoro,1.024
Institut Agama Islam Khozinatul Ulum Blora,1.023
Universitas Prisma,1.022
Universitas Kiai Abdullah Faqih Gresik,1.016
Disable -- Sekolah Tinggi Teknologi YBS Internasional,1.016
Sekolah Tinggi Ilmu Ekonomi SBI,1.015
Sekolah Tinggi Ilmu Manajemen YKPN,1.012
STKIP Al Amin Dompu,1.011
AMIK Luwuk Banggai,1.006
Akademi Bisnis Lombok,1.004
Disable -- Universitas Widya Gama,1.003
Sekolah Tinggi Teologi Intheos Surakarta,1.002
STMIK AKI Pati,995
Politeknik Digital Boash Indonesia,993
STAI Darul Kamal NW Kembang Kerang NTB,989
Sekolah Tinggi Agama Islam Hubbulwathan Duri,989
STIKES Pasapua Ambon,988
STIE Syari`ah Al-Mujaddid,986
STIKES Husada Borneo,985
Sekolah Tinggi Ekonomi Bisnis Islam Syari'ah Bina Mandiri,983
Universitas Bumi Hijrah Tidore,982
Universitas Nazhatut Thullab Al-Muafa Sampang,982
Institut Teknologi dan Bisnis Kristen Bukit Pengharapan,977
Sekolah Tinggi Teologi Arastamar Bengkulu,969
Sekolah Tinggi Ilmu Kesehatan Husada Mandiri Poso,969
INSTITUT AGAMA ISLAM YASNI BUNGO,968
Sekolah Tinggi Agama Islam Kuningan,966
STKIP Sinar Pancasila,965
Sekolah Tinggi Teologi Basom,964
INSTITUT AGAMA ISLAM YASNI BUNGO,958
Disabled -- Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Jakarta,958
Institut Karya Mulia Bangsa,955
--disable--Institut Agama Islam Muhammadiyah Bima,953
STAI Sangatta,951
Institut Teknologi dan Sains Padang Lawas Utara,951
Sekolah Tinggi Perikanan dan Kelautan Matauli,950
Sekolah Tinggi Agama Hindu Dharma Nusantara Jakarta,950
Universitas Al-Hikmah Indonesia,949
STP St. Bonaventura Delitua Medan,946
Disabled -- STKIP Kie Raha,946
STIKes  Medika Seramoe Barat,945
Sekolah Tinggi Ilmu Ekonomi Kesumanegara,944
Sekolah Tinggi Ilmu Kesehatan Bina Bangsa Majene,944
Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Wira Bhakti,943
Sekolah Tinggi Ilmu Kesehatan Holistik,943
Sekolah Tinggi Teologi Pelita Dunia,942
Disable -- Sekolah Tinggi Akuntansi dan Manajemen Indonesia,941
Akademi Pariwisata Dan Perhotelan Darma Agung,940
STIKES Muhammadiyah Lhokseumawe,939
Universitas Sultan Fatah,938
STAI Miftahul Huda Al-Azhar Banjar,938
Sekolah Tinggi Pertanian Flores Bajawa,936
Sekolah Tinggi Ilmu Ekonomi Jayakusuma,936
Institut Agama Islam Al-Falah As-Sunniyah Kencong Jember Jawa Timur,933
Politeknik Unisma Malang,933
Politeknik Bina Madani,932
Sekolah Tinggi Ilmu Ekonomi Miftahul Huda,927
STAI Miftahul Huda Pamanukan Subang,925
STIKPAR Toraja,916
Institut Agama Islam Bakti Negara Tegal,916
Sekolah Tinggi Teologi Berita Hidup,914
Universitas Sepuluh Nopember Papua,913
Universitas Media Nusantara Citra,911
Sekolah Tinggi Manajemen Informatika dan Komputer Jayakarta,905
Sekolah Tinggi Ilmu Kesehatan Assyifa Aceh,904
Sekolah Tinggi Agama Islam Al Badar Cipulus Purwakarta,903
Sekolah Tinggi Ilmu Ekonomi Al-Madani,902
Institut Teknologi dan Bisnis Muhammadiyah Kolaka,902
STMIK Bina Nusantara Jaya Lubuk Linggau,900
Politeknik Enjiniring Pertanian Indonesia,896
Sekolah Tinggi Ilmu Kesehatan Bina Bangsa Majene,895
Sekolah Tinggi Ilmu Administrasi Bagasasi,895
STIT Al-Urwatul Wutsqo Jombang,894
STIA Bala Putra Dewa,892
STIPAS St.Sirilus Ruteng,891
Sekolah Tinggi Ilmu Tarbiyah Tanggamus,889
STIKES Ibnu Sina Ajibarang,884
Sekolah Tinggi Teknologi Bina Tunggal,882
STKIP Paracendekia N W Sumbawa,881
STIT Palapa Nusantara Lombok Nusa Tenggara Barat,877
Sekolah Tinggi Ilmu Kesehatan Kendal,876
Sekolah Tinggi Ilmu Kesehatan Brebes,875
Politeknik Pekerjaan Umum,875
STIKES Piala Sakti Pariaman,874
Akademi Komunitas Manajemen Perhotelan Indonesia,873
STMIK Mardira Indonesia,872
STIKES Graha Edukasi,871
Universitas Mpu Tantular,869
Institut Agama Islam Latifah Mubarokiyah (IAILM) Suryalaya Tasikmalaya,865
Politeknik Ubaya,865
STIKES Bahrul Ulum Jombang,859
Politeknik Kesehatan Putra Indonesia Malang,859
Akademi Farmasi Yarsi Pontianak,858
Sekolah Tinggi Ilmu Administrasi Adabiah,857
Sekolah Tinggi Agama Hindu Dharma Sentana Sulawesi Tengah,857
Akademi Kesejahteraan Sosial AKK,851
Akademi Farmasi Dwi Farma,850
Sekolah Tinggi Katolik Santo Yakobus Merauke,850
STIKES An Nasher Cirebon,858
Akademi Farmasi Yarsi Pontianak,858
Sekolah Tinggi Ilmu Administrasi Adabiah,857
Sekolah Tinggi Agama Hindu Dharma Sentana Sulawesi Tengah,854
IKIP PGRI Kaltim,853
Akademi Kesejahteraan Sosial AKK,851
Akademi Farmasi Dwi Farma,850
STAI Sunan Pandanaran Yogyakarta,849
Sekolah Tinggi Teologi Anugrah Indonesia,848
STISIP Imam Bonjol,847
Institut Teknologi Sosial dan Kesehatan Muhammadiyah Selong,841
IKIP PGRI Kaltim,841
Institut Teknologi dan Kesehatan Bintang Persada,840
Politeknik Pariwisata Prima Internasional,839
Sekolah Tinggi Hukum Militer AHM - PTHM,838
Institut Teknologi Sains dan Bisnis Muhammadiyah Selayar,837
Sekolah Tinggi Ekonomi Islam (STEI) Al-Amar Subang,836
STKIP Muhammadiyah Pagaralam,835
Akademi Angkatan Laut Surabaya,832
Institut Teknologi dan Bisnis Swadharma,832
Institut Teknologi dan Bisnis Swadharma,832
Akademi Angkatan Laut Surabaya,832
STKIP Insan Madani Airmolek,831
Sekolah Tinggi Ilmu Kesehatan Serulingmas,830
Sekolah Tinggi Ekonomi Islam (STEI) Al-Amar Subang,829
Universitas Mandiri Bina Prestasi,828
STID Mohammad Natsir Bekasi,826
Universitas Kristen Teknologi Solo,824
STISIP Widyapuri Mandiri,823
Institut Teknologi dan Kesehatan Sumatera Utara,821
Sekolah Tinggi Ilmu Ekonomi 45 Mataram,820
Universitas Al-Khairiyah,820
Sekolah Tinggi Teologi Kingdom Bali,819
STKIP Agama Hindu Amlapura,819
Universitas Annuqayah,817
Akademi Keperawatan Baiturrahmah,817
Akademi Farmasi Indonesia Yogyakarta,814
Politeknik Bina Trada Semarang,811
Institut Sains Dan Teknologi Td Pardede,808
Sekolah Tinggi Agama Islam Darul Ulum Banyuanyar Pamekasan Jawa Timur,808
Akademi Komunitas Negeri Pacitan,803
Politeknik Kesehatan Ummi Khasanah,802
Institut Teknologi Budi Utomo,801
Politeknik Raflesia,797
Akademi Kuliner dan Patiseri Ottimmo Internasional,797
STKIP Pelita Nusantara Buton,797
Sekolah Tinggi Ilmu Komputer PGRI Banyuwangi,796
Sekolah Tinggi Bahasa Asing Prayoga,795
Institut Syekh Abdul Halim Hasan Binjai,794
Akademi Kebidanan Mandiri Gresik,792
Sekolah Tinggi Pendidikan Islam (STPI) Bina Insan Mulia Yogyakarta,796
STIE Professional Manajemen College Indonesia,795
Sekolah Tinggi Bahasa Asing Prayoga,795
Institut Syekh Abdul Halim Hasan Binjai,794
Akademi Kebidanan Mandiri Gresik,792
Akademi Keperawatan Batari Toja,792
Institut Ilmu KeIslaman Annuqayah (INSTIKA) Guluk-Guluk Sumenep,792
Sekolah Tinggi Intelijen Negara,791
Sekolah Tinggi Ilmu Ekonomi Perdagangan,791
STIT Ahlussunnah Bukittinggi,790
Universitas Cipta Mandiri,786
STAI Panca Budi Medan,785
Institut Agama Islam Dar Aswaja Rokan Hilir,784
Sekolah Tinggi Bahasa Asing Technocrat,783
Sekolah Tinggi Ilmu Kesehatan Kamus Arunika,781
STKIP Al-Washliyah,780
Universitas Banda Naira,780
STAI Taruna Surabaya,779
Universitas Binaniaga Indonesia,779
Sekolah Tinggi Ilmu Syari'ah Darussalam Bermi,777
STIPAS Tahasak Danum Pambelum Keuskupan Palangkaraya,777
Universitas KH. Mukhtar Syafaat,775
Akademi Kesehatan Gigi Ditkesad Jakarta,771
Sekolah Tinggi Teologi Inti Bandung,767
Sekolah Tinggi Ilmu Kesehatan Sumber Waras,766
Institut Teknologi Minaesa,766
Politeknik PGRI Banten,766
Sekolah Tinggi Ilmu Ekonomi Nganjuk,765
Sekolah Tinggi Ilmu Ekonomi Nu Trate,763
Sekolah Tinggi Ilmu Administrasi Lancang Kuning,763
Akademi Keperawatan Kesdam Iskandar Muda Banda Aceh,763
Institut Teknologi dan Bisnis Tuban,763
STMIK Syaikh Zainuddin Nahdlatul Wathan,762
Politeknik Pelayaran Sorong,758
Institut Studi Islam Muhammadiyah Pacitan,756
Akademi Teknik Alat Berat Indonesia,755
Sekolah Tinggi Ilmu Ekonomi Miftahul Huda,754
Politeknik Kelapa Sawit Citra Widya Edukasi,753
Sekolah Tinggi Ilmu Kesehatan Columbia Asia,753
STAI Nahdlatul Wathan Samawa Sumbawa Besar NTB,753
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Singkawang,755
