Nama Kampus,Sinta score
Universitas Lancang Kuning,57.173
Universitas Prima Indonesia,56.966
Universitas Khairun,56.859
Universitas Maritim Raja Ali Haji,56.674
Universitas Bangka Belitung,55.133
Universitas Abdurachman Saleh Situbondo,55.074
Universitas Katolik Parahyangan,53.826
Universitas Indo Global Mandiri,53.794
Universitas Islam Kalimantan Muhammad Arsyad Al Banjari,53.612
Politeknik Negeri Bali,52.910
Politeknik Negeri Ujung Pandang,52.845
Universitas PGRI Madiun,51.688
Politeknik Pariwisata NHI Bandung,51.140
Universitas Sembilanbelas November Kolaka,50.966
Politeknik Negeri Samarinda,50.843
Universitas Katolik Soegijapranata,50.335
Universitas Muhammadiyah Mataram,50.197
Universitas Wijaya Kusuma Surabaya,50.057
Politeknik Negeri Padang,49.673
Universitas Bosowa,48.950
Institut Teknologi Nasional Malang,48.659
Universitas Galuh,48.469
Universitas Amikom Yogyakarta,48.219
Institut Pendidikan Indonesia Garut,48.206
Universitas Prasetiya Mulya,47.958
Universitas Sari Mutiara Indonesia,47.510
Poltekkes Kemenkes Malang,47.466
Universitas Kristen Indonesia,47.419
Universitas Katolik Santo Thomas,47.344
Universitas Suryakancana,46.916
Universitas Islam 45,45.614
Universitas Kuningan,45.165
Universitas Islam Nahdlatul Ulama Jepara,44.601
Universitas Hang Tuah Pekanbaru,44.086
Universitas Muhammadiyah Metro,43.626
Universitas Langlang Buana,43.527
Universitas Duta Bangsa Surakarta,42.747
Institut Teknologi Kalimantan,42.641
Universitas 17 Agustus 1945 Semarang,42.635
Politeknik Negeri Medan,42.498
Universitas Swadaya Gunung Jati,42.380
Universitas Islam Negeri Alauddin Makassar,41.954
Universitas Pendidikan Mandalika,41.875
Universitas Hang Tuah,41.842
Universitas PGRI Yogyakarta,41.672
Universitas Muhammadiyah Sukabumi,41.407
Universitas Sains Alqur an,41.196
Institut Keuangan-Perbankan Dan Informatika Asia Perbanas,41.072
Universitas Papua,40.917
Universitas Pertamina,40.780
Universitas Islam Negeri Sultan Syarif Kasim Riau,40.450
Universitas Islam Negeri Sunan Ampel,40.360
Universitas Muhammadiyah Bengkulu,39.775
Universitas Stikubank,39.132
Universitas Muhammadiyah Palembang,39.006
Politeknik Harapan Bersama,38.604
Universitas Islam Negeri Sunan Ampel,38.175
Universitas Pekalongan,38.096
Universitas Jenderal Achmad Yani Yogyakarta,37.932
Universitas Islam Negeri Walisongo Semarang,37.759
Universitas Garut,37.608
Universitas Malahayati,37.515
Universitas Veteran Bangun Nusantara,37.191
Universitas Al-Azhar Indonesia,37.025
Universitas Prof Dr Moestopo (Beragama),36.907
Poltekkes Kemenkes Bandung,36.436
Universitas Nusantara PGRI Kediri,36.372
Poltekkes Kemenkes Kupang,36.360
Universitas Timor,36.166
Institut Seni Indonesia Yogyakarta,35.671
Universitas Swiss German,35.653
Universitas Narotama,35.638
Universitas Kadiri,35.517
Universitas Islam Negeri Raden Mas Said Surakarta,35.499
Universitas PGRI Sumatera Barat,35.409
Universitas PGRI Kanjuruhan Malang,35.394
Sekolah Tinggi Ilmu Ekonomi Trisakti,35.294
Universitas Bina Darma,35.088
Universitas Muhammadiyah Ponorogo,34.948
Universitas Katolik Widya Mandira Kupang,34.897
Universitas Putra Indonesia Yptk Padang,34.617
Universitas Atma Jaya Yogyakarta,34.343
